Timeline Summary
Timeline Name,seq5.Exported.01
Timeline Edit Rate,25.0
Timeline Start TC,10:20:00:13
Timeline Length,00:02:03:12 (3087 frames)
Total Timeline Events,43
Total Unique Source Clips,36

Event Number,Clip Name,Source File Name,Source File Path (URL),DiskLabel,TapeID,SourceMobID,Source TrackID,Source Edit Rate,Source Clip Start TC,Source Offset TC,Event Start Time (from source),Event End Time (from source),Event Length (frames),Timeline Start TC,Source Clip Start (frames),Source Offset (frames),Event Start Time (frames)
21,A004_C003_0129X5_001.mov,A004_C003_0129X5_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_01_29/WW2D_20250129_RED%20A_004/A004_0129MD.RDM/A004_C003_0129X5.RDC/A004_C003_0129X5_001.mov,WW2D_20250129_RED A_004,WW2D_20250129_RED A_004,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.3997059e.07058006.2678dc4a.3e8bff6f,N/A,25.0,10:50:19:13,00:00:54:06,10:51:13:19,10:51:16:22,78,10:21:05:10,975488,1356,976844
22,B004_C004_0129EH_001.mov,B004_C004_0129EH_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_01_29/WW2D_20250129_RED%20B_004/B004_0129RS.RDM/B004_C004_0129EH.RDC/B004_C004_0129EH_001.mov,WW2D_20250129_RED B_004,WW2D_20250129_RED B_004,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.2958512e.07058006.daa2dc4a.3e8bff6f,N/A,25.0,10:52:29:22,00:01:55:10,10:54:25:07,10:54:26:18,36,10:21:08:13,978747,2885,981632
23,WW2D_GFX_CHROMOSOME_MATCH_v01_viewing.mp4,WW2D_GFX_CHROMOSOME_MATCH_v01_viewing.mp4,file:///Z%3A/GFX/FROM%20TIM%20VARLOW/2025_05_12/WW2D_GFX_CHROMOSOME_MATCH_v01_viewing.mp4,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.95d79471.08078006.eade3013.8bebd03f,N/A,25.0,23:59:59:23,00:00:31:10,24:00:31:08,24:00:34:07,74,10:21:09:24,2159998,785,2160783
24,WW2D_ARC_129_M_NARA_242-HF-0160_001_Portrait-Adolf-Hitler-UNDATED.jpg,WW2D_ARC_129_M_NARA_242-HF-0160_001_Portrait-Adolf-Hitler-UNDATED.jpg,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/02_ARCHIVE/2024_09_25/240925%20WW2D%20ARCHIVE%20INGEST/Linz%20Vienna/Hitler%20Young%20Family%202/WW2D_ARC_129_M_NARA_242-HF-0160_001_Portrait-Adolf-Hitler-UNDATED.jpg,Hitler Young Family,Hitler Young Family,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.3da0daf8.05788006.a5060060.dd4780cb,N/A,25.0,00:00:00:00,00:00:00:00,00:00:00:00,00:00:03:13,88,10:21:12:23,0,0,0
25,WW2D_ARC_856_M_POND5_71606516.mov,WW2D_ARC_856_M_POND5_71606516.mov,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/POND%205/WW2D_ARC_856_M_POND5_71606516.mov,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.640cfe2a.07888006.78e93013.8bebd03f,N/A,25.0,00:00:00:00,00:00:00:00,00:00:00:00,00:00:04:09,109,10:21:16:11,0,0,0
26,WW2D_DNA_SCAN_TOP_v01.mov,WW2D_DNA_SCAN_TOP_v01.mov,file:///Z%3A/GFX/FROM%20TIM%20VARLOW/2025_05_20/WW2D_DNA_SCAN_TOP_v01.mov,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.c540ba20.08158006.570b3013.8bebd03f,N/A,25.0,00:00:00:00,00:00:02:17,00:00:02:17,00:00:07:01,109,10:21:20:19,0,67,67
27,FX60127.MXF,FX60127.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_2407011_FX6_Acam_010/XDROOT/Clip/FX60127.MXF,WW2D_2407011_FX6_Acam_010,WW2D_2407011_FX6_Acam_010,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.08811f5e.05348006.33d1705a.0f36c12f,N/A,25.0,10:52:56:18,00:01:20:18,10:54:17:11,10:54:18:18,32,10:21:25:04,979418,2018,981436
28,WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008_C0061.MP4,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_240711_FX3_Bcam_008/M4ROOT/CLIP/WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008,WW2D_240711_FX3_Bcam_008,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.fb0b8fa3.05348006.37b0705a.0f36c12f,N/A,25.0,11:40:55:12,00:24:48:23,12:05:44:10,12:05:47:00,65,10:21:26:11,1051387,37223,1088610
29,B001_C008_0318EU_001.mov,B001_C008_0318EU_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_18/WW2D_20250318_RED%20B_012/B001_03181P/B001_03181P.RDM/B001_C008_0318EU.RDC/B001_C008_0318EU_001.mov,WW2D_20250318_RED B_012,WW2D_20250318_RED B_012,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.962d1895.07538006.03c8a8a1.59020ae0,N/A,25.0,11:53:57:01,00:04:07:11,11:58:04:12,11:58:06:22,60,10:21:29:01,1070926,6186,1077112
30,WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008_C0061.MP4,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_240711_FX3_Bcam_008/M4ROOT/CLIP/WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008,WW2D_240711_FX3_Bcam_008,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.fb0b8fa3.05348006.37b0705a.0f36c12f,N/A,25.0,11:40:55:12,00:09:53:03,11:50:48:15,11:50:50:16,51,10:21:31:11,1051387,14828,1066215
